production_companies,counts
Warner Bros.,46
Paramount Pictures,38
Universal Pictures,38
Twentieth Century Fox Film Corporation,29
Columbia Pictures,18
Metro-Goldwyn-Mayer (MGM),17
Columbia Pictures Corporation,12
Canal+,12
Relativity Media,11
New Line Cinema,11
Regency Enterprises,10
TriStar Pictures,10
Miramax Films,9
New Regency Pictures,8
Dune Entertainment,7
Working Title Films,7
Dimension Films,7
Walt Disney Pictures,7
Castle Rock Entertainment,7
Touchstone Pictures,7
Hollywood Pictures,7
Morgan Creek Productions,6
EuropaCorp,6
France 2 Cinéma,6
United Artists,6
DreamWorks SKG,6
Village Roadshow Pictures,6
Fox Searchlight Pictures,5
Big Screen Productions,5
Gaumont,5
Ingenious Media,5
Paramount Vantage,5
Scott Free Productions,5
TSG Entertainment,5
Eon Productions,5
Summit Entertainment,5
Lionsgate,5
American Zoetrope,4
Jersey Films,4
PolyGram Filmed Entertainment,4
Medusa Film,4
Cross Creek Pictures,4
Lucasfilm,4
StudioCanal,4
Fox 2000 Pictures,4
