production_countries,counts
Argentina,2
Australia,10
Austria,2
Belgium,1
Brazil,1
Bulgaria,1
Canada,21
Chile,1
China,4
Croatia,1
Czech Republic,1
Finland,1
France,44
Germany,22
Greece,1
Hong Kong,5
Iceland,3
India,19
Ireland,5
Israel,1
Italy,14
Japan,6
Luxembourg,1
Malta,1
Mexico,4
Netherlands,2
New Zealand,3
Norway,2
Pakistan,1
Poland,1
Portugal,1
Qatar,1
Romania,1
Russia,7
South Africa,1
South Korea,2
Spain,7
Switzerland,2
Taiwan,1
Tunisia,1
Turkey,2
Ukraine,1
United Arab Emirates,2
United Kingdom,56
United States of America,411
